"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2016,28188787000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1990,9868256256," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1992,8120842752," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1993,7282193920," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1994,7207834085," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1995,8155429888," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1996,11439135744," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1997,11034657792," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1998,6976958976," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",1999,9728578560," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2000,16050031616," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2001,12629390336," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2002,14312599552," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2003,18523408835," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2004,23281732897," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2005,31886080322," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2006,38635767660," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2007,42597328667," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2008,50165010000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2009,30501497000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2010,41071348000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2011,55700959367," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2012,52164396000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2013,48679797000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2014,41572970000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2015,22581933000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MIFU"," Fuels","WL","World","UC","US dollar at current prices",2016,18041700000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MA","Manufactures","WL","World","UC","US dollar at current prices",1980,4389273297," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MA","Manufactures","WL","World","UC","US dollar at current prices",1981,5264165250," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MA","Manufactures","WL","World","UC","US dollar at current prices",1982,4765390132," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MA","Manufactures","WL","World","UC","US dollar at current prices",1983,8566000944," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MA","Manufactures","WL","World","UC","US dollar at current prices",1984,10655117019," ","Coverage: Includes processing zones" 
